"id","stand","x","y","volume","p95"
1,1,0,0,1437.59090678025,150.289369640064
2,1,0,1,1720.44646206348,172.498564774697
3,1,0,2,1652.00904695037,180.198021765048
4,1,0,3,1445.13247444064,160.312515388426
5,1,0,4,1400.13465803173,148.456513474977
6,1,0,5,2060.31688158501,183.101100221645
7,1,0,6,1423.25500890744,159.985237981718
8,1,0,7,1041.1486436832,138.608210634678
9,1,0,8,1922.67775953318,182.822519341271
10,1,0,9,1435.72487193825,155.025289686058
11,1,0,10,1081.96076549029,144.466502893701
12,1,0,11,1297.08623416449,160.208102897896
13,1,0,12,1629.04082098364,170.46607477688
14,1,0,13,1297.08269989945,148.138461214064
15,1,0,14,1628.61806004461,174.417206253091
16,1,0,15,1951.3469494674,180.695564654994
17,1,0,16,1974.37272028297,192.623401599205
18,1,0,17,1529.33808907626,163.33620458642
19,1,0,18,887.016778578482,124.063865529424
20,1,0,19,1341.98884329185,160.269348880751
21,3,0,20,2455.70398278713,212.392597522942
22,3,0,21,2381.52316940096,215.520054892822
23,3,0,22,1752.57683870123,180.280504618955
24,3,0,23,1661.87014512843,172.63177548437
25,3,0,24,2755.69503694087,223.126685462579
26,3,0,25,2318.54753349289,207.800652405626
27,3,0,26,2156.08790240942,184.40734642624
28,3,0,27,2888.84777371326,231.048148635518
29,3,0,28,2368.89742780401,199.438021460462
30,3,0,29,2652.11606212847,223.343722213448
31,3,0,30,1608.96388283281,170.783536447107
32,3,0,31,3007.91090351696,234.346461443097
33,3,0,32,2919.60899960282,230.386479803633
34,3,0,33,2525.86688318609,218.275354588942
35,3,0,34,2112.35887483198,189.882333978349
36,3,0,35,3191.35618393457,241.517086697961
37,3,0,36,2899.54495481164,238.397967876677
38,3,0,37,2864.0353288911,232.535707128822
39,3,0,38,1725.71655179355,176.95288542559
40,3,0,39,2723.13781270865,222.167134120796
41,1,1,0,1269.22907124128,147.087354386728
42,1,1,1,1993.0182212368,191.890545929743
43,1,1,2,1276.78731516627,146.839394760164
44,1,1,3,1188.19941029802,148.508702296039
45,1,1,4,1441.20198277153,160.421479850207
46,1,1,5,1612.60287613372,162.192744427181
47,1,1,6,1279.2456038733,155.405082566163
48,1,1,7,1708.2430309906,177.195175630421
49,1,1,8,1550.43835652949,159.030229641473
50,1,1,9,1584.07737184716,158.294774529641
51,1,1,10,1402.25227105968,162.292305641287
52,1,1,11,1557.37576925917,161.261628798985
53,1,1,12,1470.34240442242,156.731604946338
54,1,1,13,1693.40317654422,175.396508086694
55,1,1,14,1412.20469389448,151.73304678671
56,1,1,15,1876.47501554191,179.466945980424
57,1,1,16,1343.12134597402,159.0919673616
58,1,1,17,1448.68131838148,151.253640817668
59,1,1,18,1058.37990435038,142.513797513146
60,1,1,19,1978.51823628322,184.465930525359
61,3,1,20,2012.10392116759,192.19116032546
62,3,1,21,1792.30822970644,182.057675226599
63,3,1,22,2260.79618652967,196.469104627949
64,3,1,23,2460.41298743168,214.549153974144
65,3,1,24,2958.01746793468,242.702503898907
66,3,1,25,2386.01209570164,209.980165733722
67,3,1,26,2831.86355237049,228.719319219957
68,3,1,27,2198.90666423176,207.086165435357
69,3,1,28,2509.9552422119,224.199612012014
70,3,1,29,1528.78392107672,179.986925450413
71,3,1,30,2127.60140374077,193.647516178044
72,3,1,31,2007.95458412699,190.409388494578
73,3,1,32,3182.23027224792,246.903973248359
74,3,1,33,2798.62477559854,223.953976196167
75,3,1,34,2556.70405561076,216.211447729896
76,3,1,35,2968.65622299792,228.820049806856
77,3,1,36,3449.23912287495,251.911350283116
78,3,1,37,2285.44721720953,195.639776407231
79,3,1,38,3306.57563446519,238.75932360578
80,3,1,39,1862.04267711446,178.62849239964
81,1,2,0,1396.58368623009,167.514172489934
82,1,2,1,1098.22213002121,136.211458640313
83,1,2,2,1302.50048258806,160.315910534656
84,1,2,3,1488.28320683533,158.647370422861
85,1,2,4,1837.83692542643,170.754936514955
86,1,2,5,1630.64796515623,169.829705306377
87,1,2,6,1392.28315470204,153.960524745831
88,1,2,7,1951.40645675786,183.744549091222
89,1,2,8,1955.17674143387,174.313388174132
90,1,2,9,1767.06410288544,176.748375337726
91,1,2,10,1390.82478840137,161.851428718268
92,1,2,11,1787.57488805113,172.774751064532
93,1,2,12,1624.31200270244,175.580867292498
94,1,2,13,1639.90283156759,174.935079671947
95,1,2,14,2213.58856434509,203.868335686802
96,1,2,15,1623.37561389763,169.950999504003
97,1,2,16,1291.08156854044,144.711723600437
98,1,2,17,2093.7657021047,200.532571097449
99,1,2,18,1882.99364997214,175.29276744664
100,1,2,19,1976.95094361786,196.552759406556
101,3,2,20,3388.015953833,249.583850850083
102,3,2,21,2882.92878066864,230.352222596795
103,3,2,22,2904.62049993272,231.697696859806
104,3,2,23,2140.9010613917,190.621886764036
105,3,2,24,2121.07363211434,190.039146572624
106,3,2,25,1785.20150054389,180.263874356949
107,3,2,26,2416.28776270561,210.458045160529
108,3,2,27,1920.93841550833,183.317938951294
109,3,2,28,1870.16136735665,187.205611546648
110,3,2,29,2583.2340903138,226.054671810045
111,3,2,30,2961.52930720868,225.125377461617
112,3,2,31,1555.63120632678,169.297578205925
113,3,2,32,2605.46246386533,215.046467728513
